;Nd;N_Points;Function_np;Numpy;Tensorflow;Function_jl;Julia (batchmul);Julia (matmul)
0;1;256;0.04276704788208008;0.0020117759704589844;0.01399993896484375;0.03130459785461426;11.355631113052368;3.653198480606079
1;1;256;0.0477137565612793;0.0019996166229248047;0.012953758239746094;0.04299759864807129;0.14431047439575195;0.0
2;1;256;0.046254873275756836;0.0030083656311035156;0.013024568557739258;0.04603695869445801;0.1335740089416504;0.0
3;1;256;0.04900097846984863;0.0020008087158203125;0.011959552764892578;0.04499936103820801;0.09669756889343262;0.0
4;1;256;0.04699969291687012;0.002036571502685547;0.01301264762878418;0.04496884346008301;0.07806777954101562;0.015627384185791016
5;2;6561;0.9408254623413086;0.3125016689300537;0.16725468635559082;0.9454185962677002;10.37093997001648;0.5937585830688477
6;2;6561;0.996774435043335;0.299851655960083;0.17090916633605957;0.9638028144836426;8.346435546875;0.6528692245483398
7;2;6561;1.0529494285583496;0.3125009536743164;0.15372610092163086;0.9705362319946289;8.033867359161377;0.5883679389953613
8;2;6561;0.9829294681549072;0.33103466033935547;0.16944670677185059;0.9909365177154541;7.977814197540283;0.5937237739562988
9;2;6561;1.0061421394348145;0.2968783378601074;0.16994261741638184;0.9964547157287598;8.03376817703247;0.5883963108062744
10;3;65536;10.29032015800476;39.6610152721405;9.225585699081421;10.836512804031372;419.8213138580322;86.10055923461914
11;3;65536;11.519285202026367;23.441559314727783;10.423630475997925;10.39593505859375;413.69576025009155;66.97434163093567
12;3;65536;11.591878652572632;22.75253987312317;11.463587045669556;10.238832473754883;408.0183000564575;69.99708271026611
13;3;65536;11.256977319717407;22.028347730636597;10.340027570724487;10.270800113677979;413.6148450374603;73.17015886306763
14;3;65536;11.140551567077637;22.490182876586914;12.199739933013916;11.078277349472046;409.1509575843811;68.97312450408936
