;Nd;N_Points;Function_np;Numpy construct;MoCaX construct;MoCaX Cheb. eval;MoCaX check;Function_rn;Numpy_rn;MoCaX_rn;Numpy approx;MoCaX approx;MoCaX check rn.
0;1;256;0.04699516296386719;0.00299835205078125;0.0420374870300293;0.0030028820037841797;0.0;0.03900027275085449;0.0009980201721191406;0.004003286361694336;0.1919499421029067;0.1919499421029068;0.0
1;1;256;0.04702949523925781;0.0029609203338623047;0.047139644622802734;0.002995729446411133;0.0;0.0380094051361084;0.0019648075103759766;0.0040187835693359375;0.20709557864358719;0.20709557864358696;0.0
2;1;256;0.046010494232177734;0.0019927024841308594;0.04700016975402832;0.003033876419067383;0.0;0.041002750396728516;0.0010018348693847656;0.002997875213623047;0.3149154735796297;0.3149154735796298;0.0
3;1;256;0.04703354835510254;0.0010037422180175781;0.0449986457824707;0.003002166748046875;0.0;0.03896355628967285;0.00203704833984375;0.0019998550415039062;0.2308101646511425;0.2308101646511425;0.0
4;1;256;0.047025442123413086;0.0009989738464355469;0.04207253456115723;0.004008293151855469;0.0;0.03999972343444824;0.001976490020751953;0.003000974655151367;0.17898751971461796;0.17898751971461785;0.0
5;2;6561;1.0506973266601562;0.3401670455932617;0.9363570213317871;0.2718088626861572;0.0;1.0870158672332764;0.31320738792419434;0.36299848556518555;0.11497886399202917;0.11497886399202928;0.0
6;2;6561;1.1230213642120361;0.3414311408996582;1.0172038078308105;0.2850067615509033;0.0;1.0404551029205322;0.2979729175567627;0.348036527633667;0.13944327149241398;0.13944327149241365;0.0
7;2;6561;1.0157928466796875;0.303041934967041;0.9686908721923828;0.2847893238067627;0.0;1.015871286392212;0.3040153980255127;0.34000611305236816;0.1462697397942661;0.146269739794266;0.0
8;2;6561;1.0156242847442627;0.3245258331298828;0.9607703685760498;0.2960023880004883;0.0;1.0390985012054443;0.29697442054748535;0.3589975833892822;0.11469400951628506;0.11469400951628572;0.0
9;2;6561;0.9945313930511475;0.30202507972717285;1.0131549835205078;0.3090353012084961;0.0;1.1580798625946045;0.3110055923461914;0.3634648323059082;0.13714380288584693;0.13714380288584738;0.0
10;3;65536;10.751143455505371;25.92736530303955;11.99048662185669;18.47522497177124;0.0;11.86339282989502;24.630475282669067;24.289763927459717;0.14065354185442258;0.14065354185442203;0.0
11;3;65536;11.346887588500977;23.59411907196045;10.998219013214111;17.532122135162354;0.0;11.332549095153809;23.42252826690674;23.40976309776306;0.13844395308044777;0.1384439530804471;0.0
12;3;65536;11.232349157333374;23.456141710281372;11.008633375167847;17.65334963798523;0.0;11.624617576599121;24.091586112976074;24.68923330307007;0.13725110263163398;0.13725110263163365;0.0
13;3;65536;11.947001457214355;23.737072467803955;11.465399742126465;17.85673451423645;0.0;11.709612131118774;25.743854522705078;24.79505467414856;0.1312202316533435;0.1312202316533435;0.0
14;3;65536;11.643725872039795;24.331959009170532;12.220471858978271;17.633360862731934;0.0;11.37733507156372;23.578855514526367;23.906670093536377;0.1322033127631841;0.13220331276318398;0.0
